"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2007-2008","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","In State","Total",141,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Residential Treatment Center",20,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2007-2008","Total","Out of State","Total",21,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Connecticut Juvenile Training School",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Residential Treatment Center",13,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","In State","Total",18,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Female","Out of State","Total",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Connecticut Juvenile Training School",44,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Group Home",6,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Independent Living",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Relative Foster Care",2,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Residential Treatment Center",43,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Special Study",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","In State","Total",97,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Group Home",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Residential Treatment Center",19,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Male","Out of State","Total",20,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Connecticut Juvenile Training School",45,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Group Home",8,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Independent Living",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Relative Foster Care",3,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Residential Treatment Center",56,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Special Study",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","In State","Total",115,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Group Home",1,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Residential Treatment Center",20,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2008-2009","Total","Out of State","Total",21,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Connecticut Juvenile Training School",1,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Group Home",3,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Residential Treatment Center",15,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","In State","Total",21,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2009-2010","Female","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
